,Time,User,Tweet
0,2022-11-08 07:51:35+00:00,Jaspritbumrah93,"#Collab Start scoring profits with #BharatSwipe!
Accept debit &amp; credit card payments with low MDR charges to enjoyâ€¦ https://t.co/6D7dLYytqW"
1,2022-11-08 07:51:26+00:00,ZeeMusicCompany,#AdilHussain #PrakashRaj #ZainKhanDurrani #BarkhaSengupta #ZoyaAfroz #AbhishekNailwal #AbhishekNailwal #AnjaliJoshiâ€¦ https://t.co/SPzeWQ91Jj
2,2022-11-08 07:49:13+00:00,ndtv,RT @ndtvfeed: Anand Mahindra Says Gurpurab Is About Guru Nanak's Selfless Service https://t.co/4EKNhZ34yp https://t.co/xjzHiv1LbN
3,2022-11-08 07:48:34+00:00,ndtv,"RT @ndtvfeed: Qatar World Cup Ambassador Calls Homosexuality ""Damage In The Mind' https://t.co/gWVpv4t14X https://t.co/Oz58M1kgNM"
4,2022-11-08 07:48:18+00:00,ndtv,"RT @ndtvfeed: Russia, US Discuss First Nuclear Talks Since Ukraine War: Report https://t.co/2tjS88Dfn0 https://t.co/AX8ud5mRDU"
5,2022-11-08 07:47:48+00:00,PIB_India,"Coal Supply to Power Sector Monitored Regularly â€“ @CoalMinistry 

- With 12% Increase,  25.6 Million Ton Coal Stockâ€¦ https://t.co/4lJSIWeliu"
6,2022-11-08 07:47:43+00:00,Zakirism,"Season 3 Aur 4 shoot ho Gaya hai, baki @amazonminiTV ke malik log sahi date bata payenge. https://t.co/uM1NClhc0C"
7,2022-11-08 07:46:07+00:00,ndtv,RT @ndtvfeed: Rajasthan Teacher Changes Gender To Marry Student https://t.co/wqpBrlxsNt https://t.co/ajJevGfvXi
8,2022-11-08 07:45:42+00:00,chitraaum,"RT @ShivAroor: This photograph ðŸ’” 

(This was after the SC overturned the death sentence to 3 men convicted of raping and killing this manâ€™sâ€¦"
9,2022-11-08 07:44:58+00:00,RVCJ_FB,Itna kahe shock gaye ho?ðŸ˜³ðŸ˜³ https://t.co/1DskemW0fs
10,2022-11-08 07:42:40+00:00,ndtv,"Why Supreme Court Freed 3 Rape-Torture-Murder Convicts https://t.co/QHX9HAg0f7

NDTV's Arvind Gunasekar reports https://t.co/eWJgrN47g3"
11,2022-11-08 07:42:04+00:00,ndtv,"RT @NDTVFood: How To Make Onion-Capsicum-Tomato Stuffed Paratha Without Atta Or Maida
https://t.co/rRKI6hfRsn
#paratha #stuffedparatha"
12,2022-11-08 07:41:40+00:00,ndtv,"Video: PM Modi Visits #LKAdvani On Birthday, Says ""Role In Building BJP Unparalleled"" https://t.co/XD4kHMzgI3 https://t.co/W6xJvycyA6"
13,2022-11-08 07:37:09+00:00,taran_adarsh,#IndiaLockdown - depicting four parallel stories and the repercussions of #Covid pandemic - stars #ShwetaBasuPrasadâ€¦ https://t.co/XzrLDw4lxU
14,2022-11-08 07:37:08+00:00,taran_adarsh,MADHUR BHANDARKARâ€™S â€˜INDIA LOCKDOWNâ€™ TEASER ARRIVESâ€¦ Team #IndiaLockdown - directed by #MadhurBhandarkar and producâ€¦ https://t.co/PlyrcflMqW
15,2022-11-08 07:35:37+00:00,ndtv,"At Least 15,000 Killed By Heat Wave In Europe This Year: WHO https://t.co/l8DwsflC8f https://t.co/2CNyPeXl3T"
16,2022-11-08 07:35:08+00:00,DelhiCapitals,"Waheguru Ji Ka Khalsa, Waheguru Ji Ki Fateh ðŸŒŸ
#Gurpurab di lakh lakh vadhaaiyan ðŸŒ¼

#GuruNanakJayanti https://t.co/xoJEbn50ZH"
17,2022-11-08 07:35:01+00:00,ndtv,Watch: #RishiSunak Rushed Out Of Room By Aides At Climate Summit https://t.co/F0HhBmgqRG https://t.co/qfFaadorPI
